ErrorSource,ECA,ECB,ECC,ErrorCategory
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,155,0,6,4
-3,155,0,5,1
-2,100,4,6,1
-2,104,0,6,2
-2,104,0,6,2
-2,100,3,6,1
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,104,0,6,2
-2,0,0,5,1
-2,100,1,6,1
-2,101,0,6,1
30,50,83,6,1
-2,0,0,12,1
-5,0,0,7,1
-5,0,0,7,1
-2,100,2,6,1
8,0,0,13,1
-2,100,3,6,1
-2,100,4,6,1
-2,100,5,6,1
-3,161,0,6,2
-3,161,0,5,1
-2,0,0,5,1
-2,100,7,6,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-3,155,0,6,4
-3,155,0,5,1
-2,100,4,6,1
-2,100,3,6,1
-3,153,1,5,1
-2,100,1,6,1
-2,101,0,6,1
30,50,83,6,1
-2,0,0,12,1
-5,0,0,7,1
-2,100,2,6,1
-2,0,0,5,1
-5,0,0,7,1
8,0,0,13,1
-2,100,3,6,1
-2,100,4,6,1
-2,100,5,6,1
-2,100,7,6,1
-3,153,1,6,2
-3,153,1,5,1
-3,155,0,6,4
-3,155,0,5,1
-2,100,4,6,1
-2,100,3,6,1
-3,153,1,5,1
-2,100,1,6,1
-2,101,0,6,1
30,50,83,6,1
-2,0,0,12,1
-5,0,0,7,1
-2,100,2,6,1
-2,0,0,5,1
-5,0,0,7,1
8,0,0,13,1
-2,100,3,6,1
-2,100,4,6,1
2,5,4,6,2
2,5,3,6,2
2,5,2,6,2
2,5,1,6,2
-2,100,5,6,1
-2,100,7,6,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-2,0,0,5,1
-3,153,1,6,2
-3,153,1,5,1
-3,155,0,6,4
-3,155,0,5,1
-2,100,4,6,1
-2,100,3,6,1
-3,153,1,5,1
-2,100,1,6,1
-2,101,0,6,1
30,50,83,6,1
-2,0,0,12,1
-5,0,0,7,1
-5,0,0,7,1
-2,100,2,6,1
-2,0,0,5,1
8,0,0,13,1
-2,100,3,6,1
-2,100,4,6,1
2,5,4,6,2
2,5,3,6,2
2,5,2,6,2
2,5,1,6,2
-2,100,5,6,1
-2,100,7,6,1
-5,0,0,7,1
-5,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-5,0,0,7,1
-3,0,0,7,1
-3,0,0,0,1
-3,153,4,6,2
-3,153,4,5,1
-3,0,0,7,1
-3,162,0,6,1
-2,0,0,5,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,0,0,7,1
-3,153,5,6,2
-3,153,5,5,1
-3,0,0,7,1
-3,162,0,6,1
-2,0,0,5,1
-3,0,0,7,1
-3,153,5,6,2
-3,153,5,5,1
-3,0,0,7,1
-2,0,0,5,1
-3,0,0,7,1
-3,153,5,6,2
-3,153,5,5,1
-3,0,0,7,1
-2,0,0,5,1
-3,0,0,7,1
-3,153,5,6,2
-3,153,5,5,1
-3,0,0,7,1
-2,0,0,5,1
-3,0,0,7,1
