ID,Aggressive,words,sents,numbers,unknowns,punctuation
C101.145,NAG,11,1,0,0,0
C12.99.1,NAG,6,2,0,0,1
C101.908,CAG,21,1,0,0,0
C115.173,OAG,14,2,1,8,0
C100.45,NAG,1,1,0,3,0
C95.186,NAG,27,1,0,0,1
C101.546,NAG,17,2,0,0,2
C10.94,NAG,10,1,0,0,0
C101.241,NAG,14,3,1,0,2
C101.501,NAG,5,1,0,0,0
C101.630,NAG,11,1,0,0,0
C101.205,NAG,19,4,0,0,4
C115.53,NAG,6,1,0,0,0
C101.937,NAG,12,1,0,0,1
C115.105.1,NAG,3,1,0,0,0
C95.114,CAG,31,1,0,0,1
C130.23,CAG,10,1,0,0,1
C10.43.3,NAG,7,1,0,0,0
C105.14,NAG,4,1,0,1,0
C12.5,OAG,11,1,0,0,0
C95.353,CAG,43,2,0,0,5
C12.139.1,NAG,27,1,0,0,0
C95.131.1,CAG,8,1,0,0,0
C115.87,NAG,10,1,0,0,2
C100.42,OAG,3,1,0,0,0
C115.89,CAG,46,4,0,0,3
C10.24,OAG,4,1,0,0,0
C95.113.1,CAG,13,1,0,0,3
C115.132.2,NAG,40,4,1,0,5
C101.895.4,NAG,4,1,0,0,0
C10.29.1,CAG,22,1,0,0,0
C101.789,CAG,11,1,0,0,0
C95.177,NAG,14,1,0,0,0
C106.26,OAG,17,1,0,0,0
C101.318,CAG,23,2,0,0,1
C108.117,OAG,8,1,0,0,2
C101.132,OAG,7,1,0,0,0
C95.398.1,NAG,3,1,0,0,0
C101.725,CAG,9,1,0,0,1
C95.19,NAG,14,1,0,0,0
C101.744,NAG,1,1,1,0,0
C101.116,CAG,14,1,0,0,1
C101.514,NAG,4,1,0,0,0
C10.165,NAG,75,1,0,0,10
C95.464.1,NAG,3,1,0,0,1
C95.142,CAG,10,2,0,0,1
C12.13,CAG,20,1,0,0,0
C95.412,CAG,13,1,0,0,0
C95.126,NAG,26,1,0,0,1
C95.454,CAG,8,1,0,0,0
C115.33,OAG,9,1,0,0,0
C115.176,OAG,10,1,0,4,0
C95.371.2,CAG,8,1,0,2,0
C10.130,CAG,31,1,0,0,5
C101.403,CAG,13,1,0,0,0
C101.281,CAG,10,1,0,0,0
C10.50,OAG,56,3,0,0,10
C105.17,NAG,6,2,0,0,2
C10.2.3,NAG,5,1,0,0,0
