ID	Comunal	words	sents	numbers	unknowns	punctuation
C101.145	NCOM	11	1	0	0	0
C12.99.1	NCOM	6	2	0	0	1
C101.908	NCOM	21	1	0	0	0
C115.173	NCOM	14	2	1	8	0
C100.45	NCOM	1	1	0	3	0
C95.186	NCOM	27	1	0	0	1
C101.546	NCOM	17	2	0	0	2
C10.94	NCOM	10	1	0	0	0
C101.241	NCOM	14	3	1	0	2
C101.501	NCOM	5	1	0	0	0
C101.630	NCOM	11	1	0	0	0
C101.205	NCOM	19	4	0	0	4
C115.53	NCOM	6	1	0	0	0
C101.937	NCOM	12	1	0	0	1
C115.105.1	NCOM	3	1	0	0	0
C95.114	NCOM	31	1	0	0	1
C130.23	NCOM	10	1	0	0	1
C10.43.3	NCOM	7	1	0	0	0
C105.14	NCOM	4	1	0	1	0
C12.5	COM	11	1	0	0	0
C95.353	NCOM	43	2	0	0	5
C12.139.1	NCOM	27	1	0	0	0
C95.131.1	NCOM	8	1	0	0	0
C115.87	NCOM	10	1	0	0	2
C100.42	NCOM	3	1	0	0	0
C115.89	NCOM	46	4	0	0	3
C10.24	NCOM	4	1	0	0	0
C95.113.1	COM	13	1	0	0	3
C115.132.2	NCOM	40	4	1	0	5
C101.895.4	NCOM	4	1	0	0	0
C10.29.1	NCOM	22	1	0	0	0
C101.789	NCOM	11	1	0	0	0
C95.177	NCOM	14	1	0	0	0
C106.26	NCOM	17	1	0	0	0
C101.318	NCOM	23	2	0	0	1
C108.117	COM	8	1	0	0	2
C101.132	NCOM	7	1	0	0	0
C95.398.1	NCOM	3	1	0	0	0
C101.725	NCOM	9	1	0	0	1
C95.19	NCOM	14	1	0	0	0
C101.744	NCOM	1	1	1	0	0
C101.116	NCOM	14	1	0	0	1
C101.514	NCOM	4	1	0	0	0
C10.165	NCOM	75	1	0	0	10
C95.464.1	NCOM	3	1	0	0	1
C95.142	COM	10	2	0	0	1
C12.13	NCOM	20	1	0	0	0
C95.412	NCOM	13	1	0	0	0
C95.126	NCOM	26	1	0	0	1
C95.454	NCOM	8	1	0	0	0
C115.33	NCOM	9	1	0	0	0
C115.176	NCOM	10	1	0	4	0
C95.371.2	NCOM	8	1	0	2	0
C10.130	COM	31	1	0	0	5
C101.403	NCOM	13	1	0	0	0
C101.281	NCOM	10	1	0	0	0
C10.50	NCOM	56	3	0	0	10
C105.17	NCOM	6	2	0	0	2
C10.2.3	NCOM	5	1	0	0	0
C101.565	NCOM	7	1	0	8	0
C101.747	NCOM	7	1	0	0	0
C95.73	NCOM	29	1	0	0	1
C95.82	NCOM	8	1	0	0	0
C12.148	NCOM	84	1	1	0	0
C101.674	NCOM	11	1	0	0	1
C95.135	NCOM	11	3	0	0	2
C101.401	NCOM	26	1	0	0	2
C101.100	NCOM	3	1	0	0	0
C12.77	NCOM	10	1	0	0	0
C115.29	NCOM	6	2	0	0	1
C95.422	NCOM	24	2	0	0	4
C101.548	NCOM	10	3	0	0	2
C115.186	NCOM	5	1	0	0	0
C101.808	NCOM	6	1	0	0	0
C101.960.2	NCOM	39	3	0	1	6
C101.499	NCOM	5	1	0	0	0
C10.185	NCOM	77	1	0	0	9
C95.434.2	NCOM	32	4	0	0	3
C10.181	NCOM	5	2	0	0	2
C95.236	NCOM	29	2	2	0	1
C108.91	COM	3	1	0	0	0
C101.338	NCOM	15	1	1	4	3
C108.124	NCOM	5	1	0	0	0
C95.175	NCOM	3	1	0	0	0
C106.32	NCOM	1	1	1	0	0
C101.920.5	NCOM	6	1	0	0	0
C95.380	NCOM	8	1	0	0	0
C95.152	NCOM	12	1	0	0	0
C12.154.2	NCOM	2	1	0	0	0
C115.120	NCOM	1	1	0	0	1
C95.113	NCOM	8	1	0	0	0
C95.98	NCOM	36	1	0	2	2
C101.844	NCOM	4	1	0	0	5
C95.330	NCOM	15	5	0	0	4
C101.317	NCOM	8	1	0	0	1
C10.178	NCOM	24	3	0	0	2
C115.163	NCOM	18	1	0	0	0
C108.47	NCOM	6	1	0	2	0
C101.153	NCOM	6	1	0	0	0
C115.26	NCOM	6	1	0	0	0
C12.93.1	NCOM	15	1	0	1	0
C105.32	COM	18	1	0	0	0
C95.237.1	NCOM	1	1	0	0	0
C12.80	NCOM	12	1	1	0	0
C100.5	NCOM	12	1	0	0	0
C101.923.4	NCOM	15	2	0	0	1
C101.874.1	NCOM	18	3	0	0	3
C101.681	NCOM	7	1	0	0	0
C101.923.1	NCOM	18	1	0	0	0
C95.364	NCOM	7	1	0	1	0
C100.46	NCOM	91	3	0	0	3
C130.46	NCOM	15	2	0	0	3
C115.207	NCOM	3	1	0	0	0
C10.33	NCOM	8	1	0	0	0
C12.151	NCOM	1	1	0	0	1
C10.133.4	NCOM	37	2	0	0	1
C101.365	NCOM	8	1	0	0	0
C101.841	NCOM	11	1	0	0	0
C12.68	NCOM	68	1	1	0	0
C100.35	NCOM	14	1	0	0	1
C101.224	NCOM	12	1	0	0	0
C108.81.2	NCOM	8	1	0	0	0
C95.399.2	NCOM	27	6	0	0	8
C95.458.2	NCOM	19	1	0	0	0
C108.138	COM	5	1	0	0	0
C106.15	NCOM	4	1	0	4	0
C101.875	NCOM	3	1	0	0	0
C101.540	NCOM	3	1	0	0	1
C95.338	NCOM	10	1	0	0	1
C101.458	NCOM	9	2	0	0	2
C101.325	NCOM	7	1	0	5	0
C12.133.3	NCOM	23	4	0	0	4
C10.158.2	NCOM	3	1	0	0	0
C101.349	NCOM	13	1	0	3	0
C95.310	NCOM	29	3	0	0	3
C12.102.3	NCOM	52	2	1	0	1
C100.38	NCOM	3	1	0	0	0
C115.109	NCOM	10	1	0	0	0
C101.34	NCOM	7	1	0	0	0
C95.41	NCOM	5	1	0	0	0
C130.1	NCOM	99	3	0	3	3
C95.347.1	NCOM	14	1	1	0	0
C130.47	NCOM	9	1	0	0	0
C101.412	NCOM	4	1	0	0	0
C130.102	NCOM	102	1	0	0	0
C95.58	COM	44	5	0	0	15
C101.931	NCOM	18	1	1	0	1
C108.22	COM	8	1	0	0	0
C33.26	NCOM	4	1	0	0	0
C130.3	COM	112	11	4	0	16
C101.85	NCOM	9	1	0	0	0
C12.105	NCOM	1	1	0	0	0
C95.256	NCOM	5	3	0	0	2
C101.433	NCOM	3	1	0	0	0
C12.101	NCOM	13	1	0	0	0
C101.802	NCOM	4	1	0	2	5
C101.398	NCOM	43	1	0	0	3
C101.691	NCOM	18	1	1	0	0
C95.323	NCOM	18	1	0	0	2
C101.878	NCOM	6	6	0	0	5
C101.861.1	NCOM	3	1	0	0	0
C101.351	NCOM	29	2	0	0	3
C101.896.4	NCOM	7	1	0	0	0
C10.107.1	NCOM	1	1	0	6	0
C108.13	COM	7	1	0	0	3
C10.29	COM	17	1	0	0	0
C12.133	NCOM	21	2	0	0	1
C101.904.3	NCOM	12	1	0	0	0
C100.2	NCOM	4	1	0	4	0
C115.158	NCOM	7	1	0	0	0
C12.90	COM	27	1	0	0	0
C101.960.5	NCOM	48	5	3	0	4
C101.697	NCOM	15	1	0	0	1
C95.391	NCOM	35	3	0	0	2
C130.82	NCOM	34	2	1	0	2
C33.39	COM	10	1	1	0	0
C108.58	NCOM	1	1	1	0	0
C95.169	NCOM	0	1	2	0	5
C12.154	NCOM	19	1	0	0	0
C101.388	NCOM	55	1	4	0	1
C101.545	NCOM	37	1	1	0	0
C33.18	NCOM	7	1	0	0	0
C101.817	NCOM	10	1	0	2	2
C10.112	NCOM	6	2	0	3	2
C101.712	NCOM	7	1	0	0	0
C100.10	NCOM	2	1	0	0	0
C115.166	NCOM	5	1	0	2	0
C101.638	NCOM	11	1	0	0	2
C101.709	NCOM	6	1	0	0	1
C10.82	NCOM	12	1	0	0	0
C101.856	NCOM	32	3	1	0	3
C115.181	NCOM	13	1	0	0	0
C10.140	NCOM	8	1	0	0	0
C101.573	NCOM	8	1	0	0	0
C101.393	NCOM	8	1	0	0	0
C101.617.4	NCOM	7	1	0	0	0
C95.70	NCOM	12	1	0	0	0
C130.129	NCOM	10	1	0	0	1
C12.103.1	NCOM	32	1	0	0	0
C95.389	COM	9	1	0	0	0
C101.37	NCOM	13	2	0	0	2
C95.78	NCOM	26	1	0	0	3
C101.327	NCOM	4	1	0	0	0
C101.180	NCOM	4	1	0	0	1
C10.51.1	NCOM	8	1	1	8	0
C105.32.1	COM	18	1	0	0	3
C95.190	NCOM	35	3	3	1	2
C108.50.1	NCOM	32	1	0	0	1
C101.282	NCOM	7	1	0	0	0
C101.187	NCOM	45	4	0	0	4
C101.653	NCOM	21	2	0	0	2
C101.48	NCOM	9	1	0	3	2
C101.246	NCOM	14	1	0	0	1
C12.100	NCOM	5	1	0	0	0
C105.28	NCOM	28	2	0	0	5
C33.35.1	NCOM	37	10	2	0	9
C108.96.1	NCOM	4	1	0	1	0
C115.142.1	NCOM	1	1	0	0	0
C101.408	NCOM	86	1	0	0	0
C95.451.1	NCOM	16	2	0	1	3
C101.566	NCOM	7	1	0	0	2
C12.84	NCOM	12	1	0	0	0
C33.5	NCOM	11	1	0	0	0
C101.848	NCOM	13	1	0	0	4
C101.531	NCOM	42	3	1	0	4
C115.22	NCOM	10	1	0	0	1
C101.316	NCOM	57	8	1	0	11
C106.28	NCOM	15	1	0	0	0
C101.487	NCOM	13	1	0	0	1
C101.575.1	NCOM	0	1	1	0	0
C10.118	NCOM	16	1	0	0	0
C12.7	NCOM	17	1	0	0	0
C95.434.5	NCOM	67	6	0	0	10
C95.468	NCOM	3	1	0	0	1
C95.415.1	NCOM	2	1	1	0	0
C10.179	COM	39	3	0	0	3
C115.190.1	NCOM	19	1	0	0	5
C115.214	NCOM	16	4	0	0	5
C101.895.2	NCOM	37	2	0	0	2
C95.442	NCOM	4	2	0	0	2
C108.120.1	NCOM	11	1	1	0	0
C115.86.1	NCOM	1	1	0	0	0
C10.28.4	NCOM	80	1	1	21	0
C95.401.3	NCOM	2	1	1	0	0
C101.892	NCOM	13	1	0	0	0
C115.60	NCOM	10	1	0	0	0
C101.703	NCOM	7	1	0	0	0
C106.16	NCOM	32	1	0	0	0
C101.601	NCOM	12	1	0	0	2
C108.120	NCOM	37	1	0	3	0
C95.460.1	NCOM	4	1	0	0	0
C105.24	NCOM	27	2	0	0	2
C101.338.1	NCOM	0	1	0	4	0
C101.847	NCOM	2	1	0	0	0
C95.324	NCOM	2	1	0	4	0
C95.435	NCOM	11	2	0	0	1
C10.135	NCOM	33	2	0	4	2
C101.714	NCOM	4	1	1	0	0
C101.312	NCOM	13	2	0	0	3
C12.141.2	NCOM	4	1	0	0	0
C101.755.1	NCOM	14	1	0	0	0
C95.342	NCOM	21	8	0	0	8
C130.146	NCOM	22	1	2	0	1
C101.232	NCOM	26	1	1	0	0
C95.296	NCOM	4	1	0	0	1
C95.122	NCOM	11	1	0	0	0
C101.953	NCOM	24	1	0	0	0
C101.578	NCOM	50	1	0	0	1
C101.797	NCOM	43	6	0	0	7
C101.295	NCOM	7	1	0	0	0
C100.28	NCOM	33	1	0	0	0
C106.38.1	NCOM	1	1	0	5	0
C101.789.1	NCOM	3	1	1	0	0
C101.336	NCOM	3	1	0	0	0
C105.32.5	COM	25	1	0	1	4
C100.42.1	NCOM	9	1	0	0	0
C33.50.1	COM	4	1	0	0	0
C101.844.1	NCOM	2	1	0	0	0
C101.606	NCOM	21	1	0	0	6
C95.95	COM	13	1	0	0	2
C95.128	NCOM	24	1	1	0	0
C115.70	COM	21	1	0	0	0
C10.114	NCOM	14	1	0	0	0
C101.934	COM	12	1	0	0	1
C108.86	COM	17	1	0	0	1
C95.80	NCOM	11	1	0	0	0
C12.8	NCOM	8	3	0	0	2
C130.63	NCOM	14	1	0	0	0
C95.297	NCOM	11	1	0	0	0
C101.728	NCOM	6	1	0	0	0
C95.409.1	NCOM	51	1	0	0	0
C101.669	NCOM	3	1	0	0	0
C101.69	NCOM	15	1	0	0	0
C95.214	NCOM	72	4	0	0	3
C101.678.1	NCOM	1	1	0	0	0
C101.436	NCOM	3	1	0	0	0
C101.285	NCOM	4	1	0	0	0
C106.6	NCOM	4	2	0	0	2
C108.83	COM	13	1	0	0	0
C115.124.1	NCOM	33	2	0	0	2
C101.5	NCOM	19	1	0	0	0
C101.444.1	NCOM	6	1	1	0	1
C105.8	NCOM	3	1	0	0	0
C101.77	NCOM	33	2	0	3	1
C95.218	NCOM	195	13	0	0	25
C95.140	NCOM	8	1	0	0	0
C10.145	NCOM	19	1	0	0	0
C130.83	NCOM	12	1	0	0	1
C101.776	NCOM	5	1	0	0	0
C101.26	NCOM	18	2	0	0	1
C101.956	NCOM	2	1	1	0	0
C101.320	NCOM	3	1	0	0	0
C108.125	NCOM	3	1	0	0	0
C101.99	NCOM	7	2	0	0	2
C101.930	NCOM	5	1	0	0	0
C95.202	NCOM	17	3	0	0	5
C95.120	NCOM	10	1	0	0	0
C95.118.1	COM	20	1	0	0	2
C95.431.1	NCOM	1	1	0	0	0
C95.413.1	NCOM	5	1	0	3	0
C95.334.2	NCOM	2	1	0	4	0
C101.664.1	NCOM	2	1	0	0	0
C101.491	NCOM	8	1	1	0	0
C95.242.1	NCOM	4	1	0	0	0
C12.121.2	NCOM	8	1	1	0	1
C101.787	NCOM	28	9	0	0	8
C101.711	NCOM	2	1	0	52	0
C130.184	NCOM	10	1	0	0	0
C10.28.5	NCOM	18	1	0	0	0
C130.14	NCOM	14	2	0	0	4
C10.24.1	COM	9	1	0	0	0
C130.178	NCOM	3	1	0	0	0
C101.597	NCOM	7	1	0	0	0
C95.252	NCOM	21	4	0	1	3
C115.222	NCOM	6	1	0	0	0
C108.119	NCOM	4	1	0	0	0
C95.315	NCOM	6	1	0	0	0
C95.347.2	NCOM	141	26	6	3	41
C10.89	NCOM	11	1	0	0	0
C100.18	NCOM	42	1	0	0	8
C101.781	NCOM	24	5	0	0	6
C101.913.3	NCOM	3	1	0	0	0
C10.110.1	NCOM	3	1	0	0	0
C101.333	NCOM	21	1	0	0	0
C115.178.2	NCOM	37	2	1	0	0
C108.62	NCOM	4	1	0	0	0
C101.896	NCOM	32	4	0	0	3
C95.394.5	NCOM	9	1	0	3	0
C10.27	COM	13	2	0	0	1
C101.364	NCOM	2	1	0	0	0
C101.826	NCOM	8	1	0	0	1
C101.157	NCOM	26	3	0	0	3
C95.174	NCOM	47	1	0	3	0
C10.144	NCOM	2	1	0	0	0
C105.22	NCOM	9	1	0	0	0
C108.85.2	NCOM	28	1	0	0	0
C10.1.1	NCOM	23	1	0	0	0
C10.132.1	COM	9	1	0	0	0
C10.150	NCOM	27	1	0	0	0
C101.450	NCOM	9	1	0	0	0
C10.116.1	COM	44	1	0	0	0
C101.428	NCOM	35	9	0	0	9
C130.108	NCOM	34	1	0	0	1
C108.49	NCOM	6	1	0	0	0
C95.269	NCOM	9	1	0	0	0
C95.386	NCOM	7	1	0	0	0
C101.86	NCOM	11	1	0	0	2
C130.12	NCOM	10	1	0	0	0
C115.122	NCOM	19	1	0	0	0
C101.498	NCOM	18	1	0	0	0
C101.507	NCOM	11	1	0	0	0
C100.40	NCOM	15	1	0	0	0
C101.860	NCOM	23	2	0	0	2
C105.39	NCOM	2	1	0	0	0
C101.287	NCOM	22	3	0	0	2
C130.40	NCOM	23	1	1	0	0
C101.913	NCOM	13	1	0	0	1
C101.717.1	NCOM	3	1	1	0	0
C95.359.3	NCOM	4	2	0	0	2
C10.161	NCOM	14	1	0	11	1
C95.399.1	NCOM	12	1	1	0	0
C115.202	NCOM	10	1	0	0	0
C101.824.3	NCOM	1	1	0	0	0
C115.213.1	NCOM	2	1	0	0	1
C95.61	NCOM	27	3	0	0	3
C101.858	NCOM	12	1	0	0	0
C95.6	NCOM	32	1	0	0	2
C101.459	NCOM	13	1	0	0	0
C101.104	NCOM	7	1	0	0	0
C130.11	NCOM	2	1	0	0	0
C108.14	NCOM	9	1	0	0	0
C101.779	NCOM	10	1	0	0	0
C101.502	NCOM	3	1	0	0	0
C101.256	NCOM	8	1	0	0	0
C130.15	NCOM	35	2	0	0	1
C101.760	NCOM	11	1	0	0	0
C115.171	NCOM	2	1	0	4	0
C101.867	NCOM	14	2	0	0	3
C101.504	NCOM	10	1	0	0	0
C101.888	NCOM	1	1	0	4	0
C101.735	NCOM	11	1	0	1	0
C95.226	NCOM	19	1	0	0	0
C10.119	NCOM	13	1	0	0	1
C12.58	NCOM	22	1	0	0	0
C115.96.1	COM	5	1	0	0	0
C101.121	NCOM	5	1	0	0	1
C101.120	NCOM	45	1	0	0	0
C101.249	NCOM	5	1	0	7	0
C105.32.3	NCOM	17	2	0	0	5
C130.165	NCOM	45	2	3	0	6
C108.40	NCOM	9	1	0	0	0
C101.477	NCOM	4	1	0	0	0
C12.95	NCOM	10	1	0	0	1
C115.221	NCOM	6	1	0	0	1
C101.303	NCOM	26	1	0	3	0
C101.25	NCOM	13	1	0	0	0
C95.398.4	NCOM	5	2	0	0	1
C101.374	NCOM	4	1	0	8	0
C101.933	NCOM	14	2	0	0	3
C95.54	NCOM	12	1	0	0	1
C10.119.3	NCOM	7	1	0	0	0
C101.899.1	NCOM	2	1	0	0	0
C130.158	NCOM	5	2	0	1	2
C101.310	NCOM	7	1	0	0	0
C101.32	NCOM	3	1	0	0	0
C33.21	NCOM	70	1	2	0	1
C101.544	NCOM	31	1	0	0	1
C10.177	NCOM	7	2	0	0	2
C10.70	NCOM	9	1	0	2	0
C10.63	NCOM	10	1	0	0	0
C101.627	NCOM	8	1	0	0	0
C95.465	NCOM	6	1	0	0	0
C10.180	NCOM	3	2	0	0	2
C130.149	NCOM	6	1	0	0	0
C101.951	NCOM	3	1	0	0	0
C101.363	NCOM	9	1	0	0	0
C10.116.3	NCOM	15	1	0	0	1
C12.75	NCOM	6	1	0	0	0
C10.133.2	NCOM	5	1	0	0	0
C12.137	NCOM	36	1	0	0	0
C130.89	NCOM	2	1	0	0	0
C10.91	NCOM	4	1	0	0	0
C95.196	NCOM	26	2	0	0	1
C95.397.1	NCOM	50	2	0	0	2
C10.186	NCOM	13	1	0	0	0
C115.52	NCOM	13	1	1	27	0
C12.112	NCOM	14	1	0	0	1
C95.83	NCOM	26	1	0	0	3
C10.175.1	COM	58	2	0	0	3
C95.206	NCOM	11	2	0	0	1
C101.689	NCOM	5	1	0	3	0
C130.127	NCOM	8	1	0	0	0
C101.404	NCOM	13	1	1	0	0
C101.941	NCOM	20	1	1	0	1
C95.146	NCOM	4	1	0	0	0
C101.655	NCOM	4	2	0	0	1
C115.146	NCOM	16	1	1	0	4
C95.416.1	NCOM	12	1	0	0	1
C95.439	NCOM	10	1	0	0	0
C95.322.2	NCOM	14	2	0	0	1
C130.181	NCOM	22	1	1	0	0
C115.43	NCOM	36	3	0	0	4
C101.932	NCOM	6	1	0	3	0
C101.853	NCOM	3	1	0	0	0
C95.383.1	NCOM	1	1	0	0	1
C101.955	NCOM	23	3	0	0	2
C130.179.1	NCOM	35	3	0	0	3
C100.32	NCOM	48	4	1	0	4
C130.175.1	NCOM	2	1	0	0	0
C115.96.2	COM	11	1	0	0	0
C115.184.1	NCOM	26	1	0	0	0
C108.51	NCOM	10	1	0	0	0
C12.43	NCOM	8	1	0	0	0
C10.51	NCOM	17	1	0	0	1
C101.280	NCOM	20	1	0	3	0
C105.18	COM	5	1	0	0	1
C115.187	NCOM	8	1	0	0	0
C12.111	NCOM	57	3	0	0	5
C95.280.4	NCOM	7	1	0	0	2
C101.824.2	NCOM	3	1	0	0	0
C12.144	NCOM	22	1	0	0	0
C95.47	NCOM	5	1	0	0	1
C101.594	NCOM	16	1	0	0	0
C101.377	NCOM	17	1	0	0	1
C101.431	NCOM	15	1	1	0	0
C95.351	NCOM	16	1	0	0	0
C105.25.2	NCOM	5	1	0	0	0
C130.67	NCOM	12	1	0	0	0
C101.940.5	NCOM	12	1	0	0	1
C105.19.3	NCOM	15	2	0	4	2
C101.541	NCOM	8	1	0	0	0
C101.406	NCOM	16	1	0	0	1
C95.305.1	NCOM	11	1	0	0	0
C115.214.2	NCOM	32	1	0	0	2
C101.904	NCOM	11	1	0	1	0
C115.114	NCOM	52	13	0	0	14
C95.441	NCOM	4	2	0	1	1
C115.201	NCOM	25	1	2	0	6
C95.275	NCOM	5	1	0	0	0
C101.424	NCOM	20	1	0	0	0
C105.19	NCOM	5	1	0	0	0
C101.212	NCOM	3	1	0	0	0
C10.156.1	NCOM	20	1	0	0	6
C10.173.2	NCOM	9	1	0	0	0
C101.945	NCOM	9	1	0	0	0
C101.478	NCOM	9	1	0	0	0
C95.217	NCOM	26	1	0	0	0
C95.394.4	NCOM	13	1	0	0	0
C101.220	NCOM	6	1	0	0	1
C10.174	NCOM	2	1	0	0	0
C101.662	NCOM	13	1	0	0	0
C95.84	COM	14	1	0	0	1
C95.262	NCOM	9	2	0	0	2
C115.1	NCOM	17	1	0	0	1
C115.75	COM	12	2	0	0	2
C101.81	NCOM	9	1	0	0	0
C101.260	NCOM	24	1	0	0	0
C95.350	NCOM	4	1	0	0	1
C115.204	NCOM	17	2	0	0	1
C130.71	NCOM	3	1	0	0	0
C101.20	NCOM	6	1	0	0	0
C101.181	NCOM	40	3	0	0	6
C101.448	NCOM	5	1	0	0	0
C95.12	COM	38	5	0	0	6
C101.526	NCOM	37	1	0	0	6
C95.18	NCOM	154	10	0	0	34
C101.586	NCOM	34	2	0	0	2
C95.451.2	COM	30	4	0	0	7
C12.116	NCOM	6	1	0	0	0
C101.726	NCOM	19	2	0	0	2
C101.773	NCOM	46	1	0	0	2
C115.190	NCOM	61	1	0	0	8
C108.42.1	NCOM	19	1	0	0	0
C101.913.2	NCOM	1	1	0	0	0
C108.39	NCOM	11	1	1	0	0
C10.123	NCOM	3	1	0	0	1
C12.26	NCOM	21	1	0	0	0
C130.192.1	NCOM	19	1	0	0	0
C95.438	COM	8	1	0	0	0
C10.5.1	NCOM	10	1	0	0	0
C115.67	NCOM	9	1	0	0	0
C115.208.1	NCOM	4	1	0	0	1
C101.35	NCOM	11	3	0	0	2
C12.86	NCOM	24	1	1	0	0
C101.509	NCOM	34	2	1	0	9
C95.331	NCOM	23	2	0	8	1
C115.24	NCOM	12	1	0	0	0
C101.369	NCOM	8	1	0	0	0
C115.157	NCOM	11	1	1	0	4
C95.241	NCOM	21	2	1	0	2
C115.184	NCOM	7	1	0	0	0
C10.24.2	NCOM	7	1	0	0	0
C95.370	NCOM	2	1	0	0	0
C101.743.1	NCOM	3	1	1	0	0
C95.354	NCOM	30	1	0	0	6
C101.784.2	NCOM	3	1	1	0	0
C95.238	NCOM	31	2	0	3	6
C95.91	NCOM	18	1	0	0	0
C101.290	NCOM	13	1	0	4	0
C101.897	NCOM	10	1	0	0	0
C101.851	NCOM	3	1	0	0	0
C130.107.1	NCOM	5	1	0	0	0
C101.74	NCOM	7	1	0	0	0
C130.42	NCOM	19	1	0	0	0
C101.803	NCOM	41	4	0	0	9
C100.33.1	NCOM	5	1	0	0	0
C106.3	NCOM	62	2	0	0	6
C10.44	NCOM	5	1	0	0	0
C105.4	NCOM	38	5	0	0	7
C101.706	NCOM	13	1	0	0	2
C95.462	NCOM	26	3	0	0	4
C130.173	NCOM	30	5	0	0	5
C95.434.4	NCOM	124	2	0	0	3
C95.92.1	NCOM	8	1	0	0	0
C12.70	NCOM	39	1	0	0	0
C10.130.4	NCOM	44	16	1	1	16
C100.25	NCOM	1	1	0	0	0
C101.14	NCOM	7	1	0	0	0
C115.34	COM	14	1	0	0	0
C95.431.2	NCOM	3	1	0	0	0
C101.607	NCOM	20	1	0	0	0
C100.43	NCOM	1	1	0	2	0
C95.116	NCOM	12	1	0	0	0
C12.154.4	NCOM	4	1	0	1	0
C101.222	NCOM	7	1	0	0	2
