ID	Gender	words	sents	numbers	unknowns	punctuation
C101.145	NGEN	11	1	0	0	0
C12.99.1	NGEN	6	2	0	0	1
C101.908	NGEN	21	1	0	0	0
C115.173	NGEN	14	2	1	8	0
C100.45	NGEN	1	1	0	3	0
C95.186	NGEN	27	1	0	0	1
C101.546	NGEN	17	2	0	0	2
C10.94	NGEN	10	1	0	0	0
C101.241	NGEN	14	3	1	0	2
C101.501	NGEN	5	1	0	0	0
C101.630	NGEN	11	1	0	0	0
C101.205	NGEN	19	4	0	0	4
C115.53	NGEN	6	1	0	0	0
C101.937	NGEN	12	1	0	0	1
C115.105.1	NGEN	3	1	0	0	0
C95.114	NGEN	31	1	0	0	1
C130.23	GEN	10	1	0	0	1
C10.43.3	NGEN	7	1	0	0	0
C105.14	NGEN	4	1	0	1	0
C12.5	NGEN	11	1	0	0	0
C95.353	NGEN	43	2	0	0	5
C12.139.1	NGEN	27	1	0	0	0
C95.131.1	NGEN	8	1	0	0	0
C115.87	NGEN	10	1	0	0	2
C100.42	GEN	3	1	0	0	0
C115.89	NGEN	46	4	0	0	3
C10.24	NGEN	4	1	0	0	0
C95.113.1	NGEN	13	1	0	0	3
C115.132.2	NGEN	40	4	1	0	5
C101.895.4	NGEN	4	1	0	0	0
C10.29.1	NGEN	22	1	0	0	0
C101.789	NGEN	11	1	0	0	0
C95.177	NGEN	14	1	0	0	0
C106.26	GEN	17	1	0	0	0
C101.318	NGEN	23	2	0	0	1
C108.117	GEN	8	1	0	0	2
C101.132	NGEN	7	1	0	0	0
C95.398.1	NGEN	3	1	0	0	0
C101.725	NGEN	9	1	0	0	1
C95.19	NGEN	14	1	0	0	0
C101.744	NGEN	1	1	1	0	0
C101.116	NGEN	14	1	0	0	1
C101.514	NGEN	4	1	0	0	0
C10.165	NGEN	75	1	0	0	10
C95.464.1	NGEN	3	1	0	0	1
C95.142	NGEN	10	2	0	0	1
C12.13	NGEN	20	1	0	0	0
C95.412	NGEN	13	1	0	0	0
C95.126	NGEN	26	1	0	0	1
C95.454	NGEN	8	1	0	0	0
C115.33	NGEN	9	1	0	0	0
C115.176	NGEN	10	1	0	4	0
C95.371.2	NGEN	8	1	0	2	0
C10.130	NGEN	31	1	0	0	5
C101.403	NGEN	13	1	0	0	0
C101.281	NGEN	10	1	0	0	0
C10.50	NGEN	56	3	0	0	10
C105.17	NGEN	6	2	0	0	2
C10.2.3	NGEN	5	1	0	0	0
C101.565	NGEN	7	1	0	8	0
C101.747	NGEN	7	1	0	0	0
C95.73	NGEN	29	1	0	0	1
C95.82	NGEN	8	1	0	0	0
C12.148	NGEN	84	1	1	0	0
C101.674	NGEN	11	1	0	0	1
C95.135	NGEN	11	3	0	0	2
C101.401	NGEN	26	1	0	0	2
C101.100	NGEN	3	1	0	0	0
C12.77	NGEN	10	1	0	0	0
C115.29	NGEN	6	2	0	0	1
C95.422	NGEN	24	2	0	0	4
C101.548	NGEN	10	3	0	0	2
C115.186	NGEN	5	1	0	0	0
C101.808	NGEN	6	1	0	0	0
C101.960.2	NGEN	39	3	0	1	6
C101.499	NGEN	5	1	0	0	0
C10.185	NGEN	77	1	0	0	9
C95.434.2	NGEN	32	4	0	0	3
C10.181	NGEN	5	2	0	0	2
C95.236	NGEN	29	2	2	0	1
C108.91	GEN	3	1	0	0	0
C101.338	NGEN	15	1	1	4	3
C108.124	NGEN	5	1	0	0	0
C95.175	NGEN	3	1	0	0	0
C106.32	NGEN	1	1	1	0	0
C101.920.5	NGEN	6	1	0	0	0
C95.380	NGEN	8	1	0	0	0
C95.152	NGEN	12	1	0	0	0
C12.154.2	NGEN	2	1	0	0	0
C115.120	NGEN	1	1	0	0	1
C95.113	NGEN	8	1	0	0	0
C95.98	NGEN	36	1	0	2	2
C101.844	NGEN	4	1	0	0	5
C95.330	NGEN	15	5	0	0	4
C101.317	NGEN	8	1	0	0	1
C10.178	NGEN	24	3	0	0	2
C115.163	NGEN	18	1	0	0	0
C108.47	NGEN	6	1	0	2	0
C101.153	NGEN	6	1	0	0	0
C115.26	NGEN	6	1	0	0	0
C12.93.1	NGEN	15	1	0	1	0
C105.32	NGEN	18	1	0	0	0
C95.237.1	NGEN	1	1	0	0	0
C12.80	NGEN	12	1	1	0	0
C100.5	NGEN	12	1	0	0	0
C101.923.4	NGEN	15	2	0	0	1
C101.874.1	NGEN	18	3	0	0	3
C101.681	NGEN	7	1	0	0	0
C101.923.1	NGEN	18	1	0	0	0
C95.364	NGEN	7	1	0	1	0
C100.46	GEN	91	3	0	0	3
C130.46	NGEN	15	2	0	0	3
C115.207	NGEN	3	1	0	0	0
C10.33	NGEN	8	1	0	0	0
C12.151	NGEN	1	1	0	0	1
C10.133.4	NGEN	37	2	0	0	1
C101.365	NGEN	8	1	0	0	0
C101.841	NGEN	11	1	0	0	0
C12.68	GEN	68	1	1	0	0
C100.35	NGEN	14	1	0	0	1
C101.224	NGEN	12	1	0	0	0
C108.81.2	NGEN	8	1	0	0	0
C95.399.2	NGEN	27	6	0	0	8
C95.458.2	NGEN	19	1	0	0	0
C108.138	NGEN	5	1	0	0	0
C106.15	NGEN	4	1	0	4	0
C101.875	NGEN	3	1	0	0	0
C101.540	NGEN	3	1	0	0	1
C95.338	NGEN	10	1	0	0	1
C101.458	NGEN	9	2	0	0	2
C101.325	NGEN	7	1	0	5	0
C12.133.3	NGEN	23	4	0	0	4
C10.158.2	NGEN	3	1	0	0	0
C101.349	NGEN	13	1	0	3	0
C95.310	NGEN	29	3	0	0	3
C12.102.3	NGEN	52	2	1	0	1
C100.38	NGEN	3	1	0	0	0
C115.109	NGEN	10	1	0	0	0
C101.34	NGEN	7	1	0	0	0
C95.41	NGEN	5	1	0	0	0
C130.1	GEN	99	3	0	3	3
C95.347.1	NGEN	14	1	1	0	0
C130.47	GEN	9	1	0	0	0
C101.412	NGEN	4	1	0	0	0
C130.102	NGEN	102	1	0	0	0
C95.58	NGEN	44	5	0	0	15
C101.931	NGEN	18	1	1	0	1
C108.22	GEN	8	1	0	0	0
C33.26	NGEN	4	1	0	0	0
C130.3	GEN	112	11	4	0	16
C101.85	NGEN	9	1	0	0	0
C12.105	NGEN	1	1	0	0	0
C95.256	NGEN	5	3	0	0	2
C101.433	NGEN	3	1	0	0	0
C12.101	NGEN	13	1	0	0	0
C101.802	NGEN	4	1	0	2	5
C101.398	NGEN	43	1	0	0	3
C101.691	NGEN	18	1	1	0	0
C95.323	NGEN	18	1	0	0	2
C101.878	NGEN	6	6	0	0	5
C101.861.1	NGEN	3	1	0	0	0
C101.351	NGEN	29	2	0	0	3
C101.896.4	NGEN	7	1	0	0	0
C10.107.1	NGEN	1	1	0	6	0
C108.13	NGEN	7	1	0	0	3
C10.29	GEN	17	1	0	0	0
C12.133	NGEN	21	2	0	0	1
C101.904.3	NGEN	12	1	0	0	0
C100.2	NGEN	4	1	0	4	0
C115.158	NGEN	7	1	0	0	0
C12.90	NGEN	27	1	0	0	0
C101.960.5	NGEN	48	5	3	0	4
C101.697	NGEN	15	1	0	0	1
C95.391	NGEN	35	3	0	0	2
C130.82	GEN	34	2	1	0	2
C33.39	NGEN	10	1	1	0	0
C108.58	NGEN	1	1	1	0	0
C95.169	NGEN	0	1	2	0	5
C12.154	NGEN	19	1	0	0	0
C101.388	NGEN	55	1	4	0	1
C101.545	NGEN	37	1	1	0	0
C33.18	NGEN	7	1	0	0	0
C101.817	NGEN	10	1	0	2	2
C10.112	NGEN	6	2	0	3	2
C101.712	NGEN	7	1	0	0	0
C100.10	NGEN	2	1	0	0	0
C115.166	NGEN	5	1	0	2	0
C101.638	NGEN	11	1	0	0	2
C101.709	NGEN	6	1	0	0	1
C10.82	NGEN	12	1	0	0	0
C101.856	NGEN	32	3	1	0	3
C115.181	NGEN	13	1	0	0	0
C10.140	NGEN	8	1	0	0	0
C101.573	NGEN	8	1	0	0	0
C101.393	NGEN	8	1	0	0	0
C101.617.4	NGEN	7	1	0	0	0
C95.70	NGEN	12	1	0	0	0
C130.129	NGEN	10	1	0	0	1
C12.103.1	NGEN	32	1	0	0	0
C95.389	NGEN	9	1	0	0	0
C101.37	NGEN	13	2	0	0	2
C95.78	NGEN	26	1	0	0	3
C101.327	NGEN	4	1	0	0	0
C101.180	NGEN	4	1	0	0	1
C10.51.1	NGEN	8	1	1	8	0
C105.32.1	NGEN	18	1	0	0	3
C95.190	NGEN	35	3	3	1	2
C108.50.1	GEN	32	1	0	0	1
C101.282	NGEN	7	1	0	0	0
C101.187	NGEN	45	4	0	0	4
C101.653	NGEN	21	2	0	0	2
C101.48	NGEN	9	1	0	3	2
C101.246	NGEN	14	1	0	0	1
C12.100	NGEN	5	1	0	0	0
C105.28	NGEN	28	2	0	0	5
C33.35.1	NGEN	37	10	2	0	9
C108.96.1	NGEN	4	1	0	1	0
C115.142.1	NGEN	1	1	0	0	0
C101.408	NGEN	86	1	0	0	0
C95.451.1	NGEN	16	2	0	1	3
C101.566	NGEN	7	1	0	0	2
C12.84	NGEN	12	1	0	0	0
C33.5	NGEN	11	1	0	0	0
C101.848	NGEN	13	1	0	0	4
C101.531	NGEN	42	3	1	0	4
C115.22	NGEN	10	1	0	0	1
C101.316	NGEN	57	8	1	0	11
C106.28	NGEN	15	1	0	0	0
C101.487	NGEN	13	1	0	0	1
C101.575.1	NGEN	0	1	1	0	0
C10.118	NGEN	16	1	0	0	0
C12.7	NGEN	17	1	0	0	0
C95.434.5	NGEN	67	6	0	0	10
C95.468	NGEN	3	1	0	0	1
C95.415.1	NGEN	2	1	1	0	0
C10.179	NGEN	39	3	0	0	3
C115.190.1	NGEN	19	1	0	0	5
C115.214	NGEN	16	4	0	0	5
C101.895.2	NGEN	37	2	0	0	2
C95.442	NGEN	4	2	0	0	2
C108.120.1	NGEN	11	1	1	0	0
C115.86.1	NGEN	1	1	0	0	0
C10.28.4	NGEN	80	1	1	21	0
C95.401.3	NGEN	2	1	1	0	0
C101.892	NGEN	13	1	0	0	0
C115.60	NGEN	10	1	0	0	0
C101.703	NGEN	7	1	0	0	0
C106.16	GEN	32	1	0	0	0
C101.601	NGEN	12	1	0	0	2
C108.120	GEN	37	1	0	3	0
C95.460.1	NGEN	4	1	0	0	0
C105.24	NGEN	27	2	0	0	2
C101.338.1	NGEN	0	1	0	4	0
C101.847	NGEN	2	1	0	0	0
C95.324	NGEN	2	1	0	4	0
C95.435	NGEN	11	2	0	0	1
C10.135	NGEN	33	2	0	4	2
C101.714	NGEN	4	1	1	0	0
C101.312	NGEN	13	2	0	0	3
C12.141.2	NGEN	4	1	0	0	0
C101.755.1	NGEN	14	1	0	0	0
C95.342	NGEN	21	8	0	0	8
C130.146	GEN	22	1	2	0	1
C101.232	NGEN	26	1	1	0	0
C95.296	NGEN	4	1	0	0	1
C95.122	NGEN	11	1	0	0	0
C101.953	NGEN	24	1	0	0	0
C101.578	NGEN	50	1	0	0	1
C101.797	NGEN	43	6	0	0	7
C101.295	NGEN	7	1	0	0	0
C100.28	NGEN	33	1	0	0	0
C106.38.1	NGEN	1	1	0	5	0
C101.789.1	NGEN	3	1	1	0	0
C101.336	NGEN	3	1	0	0	0
C105.32.5	NGEN	25	1	0	1	4
C100.42.1	NGEN	9	1	0	0	0
C33.50.1	NGEN	4	1	0	0	0
C101.844.1	NGEN	2	1	0	0	0
C101.606	NGEN	21	1	0	0	6
C95.95	NGEN	13	1	0	0	2
C95.128	NGEN	24	1	1	0	0
C115.70	NGEN	21	1	0	0	0
C10.114	NGEN	14	1	0	0	0
C101.934	NGEN	12	1	0	0	1
C108.86	GEN	17	1	0	0	1
C95.80	NGEN	11	1	0	0	0
C12.8	NGEN	8	3	0	0	2
C130.63	NGEN	14	1	0	0	0
C95.297	NGEN	11	1	0	0	0
C101.728	NGEN	6	1	0	0	0
C95.409.1	NGEN	51	1	0	0	0
C101.669	NGEN	3	1	0	0	0
C101.69	NGEN	15	1	0	0	0
C95.214	NGEN	72	4	0	0	3
C101.678.1	NGEN	1	1	0	0	0
C101.436	NGEN	3	1	0	0	0
C101.285	NGEN	4	1	0	0	0
C106.6	NGEN	4	2	0	0	2
C108.83	GEN	13	1	0	0	0
C115.124.1	NGEN	33	2	0	0	2
C101.5	NGEN	19	1	0	0	0
C101.444.1	NGEN	6	1	1	0	1
C105.8	NGEN	3	1	0	0	0
C101.77	NGEN	33	2	0	3	1
C95.218	NGEN	195	13	0	0	25
C95.140	NGEN	8	1	0	0	0
C10.145	NGEN	19	1	0	0	0
C130.83	GEN	12	1	0	0	1
C101.776	NGEN	5	1	0	0	0
C101.26	NGEN	18	2	0	0	1
C101.956	NGEN	2	1	1	0	0
C101.320	NGEN	3	1	0	0	0
C108.125	NGEN	3	1	0	0	0
C101.99	NGEN	7	2	0	0	2
C101.930	NGEN	5	1	0	0	0
C95.202	NGEN	17	3	0	0	5
C95.120	NGEN	10	1	0	0	0
C95.118.1	NGEN	20	1	0	0	2
C95.431.1	NGEN	1	1	0	0	0
C95.413.1	NGEN	5	1	0	3	0
C95.334.2	NGEN	2	1	0	4	0
C101.664.1	NGEN	2	1	0	0	0
C101.491	NGEN	8	1	1	0	0
C95.242.1	NGEN	4	1	0	0	0
C12.121.2	NGEN	8	1	1	0	1
C101.787	NGEN	28	9	0	0	8
C101.711	NGEN	2	1	0	52	0
C130.184	GEN	10	1	0	0	0
C10.28.5	GEN	18	1	0	0	0
C130.14	GEN	14	2	0	0	4
C10.24.1	NGEN	9	1	0	0	0
C130.178	NGEN	3	1	0	0	0
C101.597	NGEN	7	1	0	0	0
C95.252	NGEN	21	4	0	1	3
C115.222	NGEN	6	1	0	0	0
C108.119	GEN	4	1	0	0	0
C95.315	NGEN	6	1	0	0	0
C95.347.2	NGEN	141	26	6	3	41
C10.89	NGEN	11	1	0	0	0
C100.18	GEN	42	1	0	0	8
C101.781	NGEN	24	5	0	0	6
C101.913.3	NGEN	3	1	0	0	0
C10.110.1	NGEN	3	1	0	0	0
C101.333	NGEN	21	1	0	0	0
C115.178.2	NGEN	37	2	1	0	0
C108.62	NGEN	4	1	0	0	0
C101.896	NGEN	32	4	0	0	3
C95.394.5	NGEN	9	1	0	3	0
C10.27	NGEN	13	2	0	0	1
C101.364	NGEN	2	1	0	0	0
C101.826	NGEN	8	1	0	0	1
C101.157	NGEN	26	3	0	0	3
C95.174	NGEN	47	1	0	3	0
C10.144	NGEN	2	1	0	0	0
C105.22	NGEN	9	1	0	0	0
C108.85.2	GEN	28	1	0	0	0
C10.1.1	NGEN	23	1	0	0	0
C10.132.1	NGEN	9	1	0	0	0
C10.150	NGEN	27	1	0	0	0
C101.450	NGEN	9	1	0	0	0
C10.116.1	NGEN	44	1	0	0	0
C101.428	NGEN	35	9	0	0	9
C130.108	NGEN	34	1	0	0	1
C108.49	NGEN	6	1	0	0	0
C95.269	NGEN	9	1	0	0	0
