,ID,Gender,words,sents,numbers,unknowns,punctuation
0,C101.145,NGEN,11,1,0,0,0
1,C12.99.1,NGEN,6,2,0,0,1
2,C101.908,NGEN,21,1,0,0,0
3,C115.173,NGEN,14,2,1,8,0
4,C100.45,NGEN,1,1,0,3,0
5,C95.186,NGEN,27,1,0,0,1
6,C101.546,NGEN,17,2,0,0,2
7,C10.94,NGEN,10,1,0,0,0
8,C101.241,NGEN,14,3,1,0,2
9,C101.501,NGEN,5,1,0,0,0
10,C101.630,NGEN,11,1,0,0,0
11,C101.205,NGEN,19,4,0,0,4
12,C115.53,NGEN,6,1,0,0,0
13,C101.937,NGEN,12,1,0,0,1
14,C115.105.1,NGEN,3,1,0,0,0
15,C95.114,NGEN,31,1,0,0,1
16,C130.23,GEN,10,1,0,0,1
17,C10.43.3,NGEN,7,1,0,0,0
18,C105.14,NGEN,4,1,0,1,0
19,C12.5,NGEN,11,1,0,0,0
20,C95.353,NGEN,43,2,0,0,5
21,C12.139.1,NGEN,27,1,0,0,0
22,C95.131.1,NGEN,8,1,0,0,0
23,C115.87,NGEN,10,1,0,0,2
24,C100.42,GEN,3,1,0,0,0
25,C115.89,NGEN,46,4,0,0,3
26,C10.24,NGEN,4,1,0,0,0
27,C95.113.1,NGEN,13,1,0,0,3
28,C115.132.2,NGEN,40,4,1,0,5
29,C101.895.4,NGEN,4,1,0,0,0
30,C10.29.1,NGEN,22,1,0,0,0
31,C101.789,NGEN,11,1,0,0,0
32,C95.177,NGEN,14,1,0,0,0
33,C106.26,GEN,17,1,0,0,0
34,C101.318,NGEN,23,2,0,0,1
35,C108.117,GEN,8,1,0,0,2
36,C101.132,NGEN,7,1,0,0,0
37,C95.398.1,NGEN,3,1,0,0,0
38,C101.725,NGEN,9,1,0,0,1
39,C95.19,NGEN,14,1,0,0,0
40,C101.744,NGEN,1,1,1,0,0
41,C101.116,NGEN,14,1,0,0,1
42,C101.514,NGEN,4,1,0,0,0
43,C10.165,NGEN,75,1,0,0,10
44,C95.464.1,NGEN,3,1,0,0,1
45,C95.142,NGEN,10,2,0,0,1
46,C12.13,NGEN,20,1,0,0,0
47,C95.412,NGEN,13,1,0,0,0
48,C95.126,NGEN,26,1,0,0,1
49,C95.454,NGEN,8,1,0,0,0
50,C115.33,NGEN,9,1,0,0,0
51,C115.176,NGEN,10,1,0,4,0
52,C95.371.2,NGEN,8,1,0,2,0
53,C10.130,NGEN,31,1,0,0,5
54,C101.403,NGEN,13,1,0,0,0
55,C101.281,NGEN,10,1,0,0,0
56,C10.50,NGEN,56,3,0,0,10
57,C105.17,NGEN,6,2,0,0,2
58,C10.2.3,NGEN,5,1,0,0,0
59,C101.565,NGEN,7,1,0,8,0
60,C101.747,NGEN,7,1,0,0,0
61,C95.73,NGEN,29,1,0,0,1
62,C95.82,NGEN,8,1,0,0,0
63,C12.148,NGEN,84,1,1,0,0
64,C101.674,NGEN,11,1,0,0,1
65,C95.135,NGEN,11,3,0,0,2
66,C101.401,NGEN,26,1,0,0,2
67,C101.100,NGEN,3,1,0,0,0
68,C12.77,NGEN,10,1,0,0,0
69,C115.29,NGEN,6,2,0,0,1
70,C95.422,NGEN,24,2,0,0,4
71,C101.548,NGEN,10,3,0,0,2
72,C115.186,NGEN,5,1,0,0,0
73,C101.808,NGEN,6,1,0,0,0
74,C101.960.2,NGEN,39,3,0,1,6
75,C101.499,NGEN,5,1,0,0,0
76,C10.185,NGEN,77,1,0,0,9
77,C95.434.2,NGEN,32,4,0,0,3
78,C10.181,NGEN,5,2,0,0,2
79,C95.236,NGEN,29,2,2,0,1
80,C108.91,GEN,3,1,0,0,0
81,C101.338,NGEN,15,1,1,4,3
82,C108.124,NGEN,5,1,0,0,0
83,C95.175,NGEN,3,1,0,0,0
84,C106.32,NGEN,1,1,1,0,0
85,C101.920.5,NGEN,6,1,0,0,0
86,C95.380,NGEN,8,1,0,0,0
87,C95.152,NGEN,12,1,0,0,0
88,C12.154.2,NGEN,2,1,0,0,0
89,C115.120,NGEN,1,1,0,0,1
90,C95.113,NGEN,8,1,0,0,0
91,C95.98,NGEN,36,1,0,2,2
92,C101.844,NGEN,4,1,0,0,5
93,C95.330,NGEN,15,5,0,0,4
94,C101.317,NGEN,8,1,0,0,1
95,C10.178,NGEN,24,3,0,0,2
96,C115.163,NGEN,18,1,0,0,0
97,C108.47,NGEN,6,1,0,2,0
98,C101.153,NGEN,6,1,0,0,0
99,C115.26,NGEN,6,1,0,0,0
100,C12.93.1,NGEN,15,1,0,1,0
101,C105.32,NGEN,18,1,0,0,0
102,C95.237.1,NGEN,1,1,0,0,0
103,C12.80,NGEN,12,1,1,0,0
104,C100.5,NGEN,12,1,0,0,0
105,C101.923.4,NGEN,15,2,0,0,1
106,C101.874.1,NGEN,18,3,0,0,3
107,C101.681,NGEN,7,1,0,0,0
108,C101.923.1,NGEN,18,1,0,0,0
109,C95.364,NGEN,7,1,0,1,0
110,C100.46,GEN,91,3,0,0,3
111,C130.46,NGEN,15,2,0,0,3
112,C115.207,NGEN,3,1,0,0,0
113,C10.33,NGEN,8,1,0,0,0
114,C12.151,NGEN,1,1,0,0,1
115,C10.133.4,NGEN,37,2,0,0,1
116,C101.365,NGEN,8,1,0,0,0
117,C101.841,NGEN,11,1,0,0,0
118,C12.68,GEN,68,1,1,0,0
119,C100.35,NGEN,14,1,0,0,1
120,C101.224,NGEN,12,1,0,0,0
121,C108.81.2,NGEN,8,1,0,0,0
122,C95.399.2,NGEN,27,6,0,0,8
123,C95.458.2,NGEN,19,1,0,0,0
124,C108.138,NGEN,5,1,0,0,0
125,C106.15,NGEN,4,1,0,4,0
